127.0.0.1 - - [06/May/2025:11:46:44 +0700] "GET / HTTP/1.1" 404 752
0:0:0:0:0:0:0:1 - - [06/May/2025:11:46:46 +0700] "GET /test/NewFile.jsp HTTP/1.1" 200 161
0:0:0:0:0:0:0:1 - - [06/May/2025:11:46:47 +0700] "GET /favicon.ico HTTP/1.1" 404 685
0:0:0:0:0:0:0:1 - - [06/May/2025:11:49:15 +0700] "GET /test/NewFile.jsp HTTP/1.1" 200 213
0:0:0:0:0:0:0:1 - - [06/May/2025:11:51:52 +0700] "GET /test/NewFile.jsp HTTP/1.1" 500 4624
0:0:0:0:0:0:0:1 - - [06/May/2025:11:52:37 +0700] "GET /test/NewFile.jsp HTTP/1.1" 500 4624
0:0:0:0:0:0:0:1 - - [06/May/2025:11:54:16 +0700] "GET /test/NewFile.jsp HTTP/1.1" 500 4624
0:0:0:0:0:0:0:1 - - [06/May/2025:11:54:54 +0700] "GET /test/NewFile.jsp HTTP/1.1" 200 839
0:0:0:0:0:0:0:1 - - [06/May/2025:11:55:03 +0700] "POST /test/NewFile.jsp HTTP/1.1" 200 914
0:0:0:0:0:0:0:1 - - [06/May/2025:11:55:11 +0700] "POST /test/NewFile.jsp HTTP/1.1" 200 914
0:0:0:0:0:0:0:1 - - [06/May/2025:11:56:15 +0700] "POST /test/NewFile.jsp HTTP/1.1" 200 968
0:0:0:0:0:0:0:1 - - [06/May/2025:11:56:59 +0700] "POST /test/NewFile.jsp HTTP/1.1" 200 987
0:0:0:0:0:0:0:1 - - [06/May/2025:11:57:07 +0700] "GET /test/NewFile.jsp HTTP/1.1" 200 858
0:0:0:0:0:0:0:1 - - [06/May/2025:11:57:32 +0700] "GET /test/NewFile.jsp HTTP/1.1" 200 858
